traveler_id,preference_id
1,1
1,5
1,10
2,2
2,5
2,22
3,6
3,26
3,43
4,3
4,16
4,24
5,5
5,27
5,42
6,14
6,38
6,43
7,1
7,6
7,43
8,7
8,17
8,20
9,3
9,16
9,37
10,2
10,10
10,22
11,5
11,27
11,30
12,4
12,46
12,47
13,6
13,38
13,43
14,3
14,16
14,24
15,7
15,20
15,21
16,14
16,38
16,45
17,3
17,16
17,17
18,7
18,17
18,18
19,6
19,26
19,43
20,2
20,5
20,27
21,4
21,35
21,36
22,7
22,20
22,21
23,1
23,27
23,42
24,7
24,17
24,20
25,1
25,6
25,43
26,5
26,27
26,42
27,7
27,21
27,20
28,4
28,46
28,47
29,18
29,19
29,47
30,3
30,16
30,24
31,4
31,35
31,36
32,7
32,18
32,21
33,3
33,16
33,37
34,3
34,16
34,17
35,3
35,4
35,16
36,2
36,5
36,22
37,7
37,18
37,21
38,3
38,16
38,17
39,1
39,38
39,43
40,2
40,22
40,48
41,3
41,16
41,25
42,7
42,20
42,21
43,7
43,18
43,47
44,2
44,10
44,22
45,5
45,27
45,42
46,2
46,5
46,10
47,7
47,20
47,21
48,14
48,38
48,45
49,6
49,26
49,43
50,2
50,22
50,48
51,3
51,16
51,37
52,2
52,5
52,10
53,1
53,6
53,43
54,3
54,16
54,24
55,3
55,16
55,37
56,14
56,38
56,45
57,7
57,18
57,21
58,5
58,27
58,42
59,6
59,26
59,43
60,4
60,46
60,47
61,1
61,6
61,43
62,3
62,16
62,17
63,2
63,10
63,23