wishlist_id,traveler_id,date_created
1,1,2023-01-15
2,3,2023-01-20
3,5,2023-01-25
4,7,2023-02-05
5,9,2023-02-10
6,11,2023-02-15
7,13,2023-02-20
8,15,2023-03-01
9,17,2023-03-10
10,19,2023-03-15
11,21,2023-03-20
12,23,2023-03-25
13,25,2023-04-01
14,27,2023-04-10
15,29,2023-04-15
16,31,2023-04-20
17,33,2023-04-25
18,35,2023-05-01
19,37,2023-05-10
20,39,2023-05-15
21,41,2023-05-20
22,43,2023-05-25
23,45,2023-06-01
24,47,2023-06-10
25,49,2023-06-15
26,51,2023-06-20
27,53,2023-06-25
28,55,2023-07-01
29,57,2023-07-10
30,59,2023-07-15
31,61,2023-07-20
32,2,2023-07-25
33,4,2023-08-01
34,6,2023-08-10
35,8,2023-08-15
36,10,2023-08-20
37,12,2023-08-25
38,14,2023-09-01
39,16,2023-09-10
40,18,2023-09-15
41,20,2023-09-20
42,22,2023-09-25
43,24,2023-10-01
44,26,2023-10-10
45,28,2023-10-15
46,30,2023-10-20
47,32,2023-10-25
48,34,2023-11-01
49,36,2023-11-10
50,38,2023-11-15