wishlist_id,trip_id,added_date
1,3,2023-01-16
1,7,2023-01-17
1,12,2023-01-18
2,5,2023-01-21
2,22,2023-01-22
2,29,2023-01-23
3,8,2023-01-26
3,15,2023-01-27
3,27,2023-01-28
4,4,2023-02-06
4,14,2023-02-07
4,24,2023-02-08
5,28,2023-02-11
5,35,2023-02-12
5,42,2023-02-13
6,17,2023-02-16
6,33,2023-02-17
6,47,2023-02-18
7,9,2023-02-21
7,19,2023-02-22
7,29,2023-02-23
8,8,2023-03-02
8,18,2023-03-03
8,38,2023-03-04
9,10,2023-03-11
9,30,2023-03-12
9,43,2023-03-13
10,19,2023-03-16
10,29,2023-03-17
10,39,2023-03-18
11,21,2023-03-21
11,47,2023-03-22
12,23,2023-03-26
12,33,2023-03-27
12,43,2023-03-28
13,25,2023-04-02
13,36,2023-04-03
14,50,2023-04-11
14,35,2023-04-12
15,7,2023-04-16
15,12,2023-04-17
15,17,2023-04-18
16,35,2023-04-21
16,20,2023-04-22
17,4,2023-04-26
17,14,2023-04-27
17,24,2023-04-28
18,19,2023-05-02
18,29,2023-05-03
18,49,2023-05-04
19,7,2023-05-11
19,17,2023-05-12
19,27,2023-05-13
20,10,2023-05-16
20,23,2023-05-17
20,33,2023-05-18
21,13,2023-05-21
21,25,2023-05-22
21,42,2023-05-23
22,16,2023-05-26
22,28,2023-05-27
22,35,2023-05-28
23,2,2023-06-02
23,12,2023-06-03
24,9,2023-06-11
24,19,2023-06-12
24,39,2023-06-13
25,23,2023-06-16
25,33,2023-06-17
25,43,2023-06-18
26,4,2023-06-21
26,14,2023-06-22
26,24,2023-06-23
27,6,2023-06-26
27,26,2023-06-27
27,46,2023-06-28
28,11,2023-07-02
28,31,2023-07-03
29,42,2023-07-11
29,32,2023-07-12
29,22,2023-07-13
30,28,2023-07-16
30,35,2023-07-17
30,42,2023-07-18
31,14,2023-07-21
31,24,2023-07-22
31,44,2023-07-23
32,5,2023-07-26
32,15,2023-07-27
32,25,2023-07-28
33,8,2023-08-02
33,18,2023-08-03
33,28,2023-08-04
34,21,2023-08-11
34,31,2023-08-12
34,41,2023-08-13
35,23,2023-08-16
35,33,2023-08-17
35,43,2023-08-18
36,20,2023-08-21
36,30,2023-08-22
36,40,2023-08-23
37,4,2023-08-26
37,14,2023-08-27
37,24,2023-08-28
38,11,2023-09-02
38,31,2023-09-03
38,34,2023-09-04
39,5,2023-09-11
39,15,2023-09-12
39,25,2023-09-13
40,37,2023-09-16
40,17,2023-09-17
40,47,2023-09-18
41,10,2023-09-21
41,20,2023-09-22
41,30,2023-09-23
42,5,2023-09-26
42,15,2023-09-27
43,8,2023-10-02
43,18,2023-10-03
43,28,2023-10-04
44,9,2023-10-11
44,19,2023-10-12
44,29,2023-10-13
45,11,2023-10-16
45,31,2023-10-17
46,25,2023-10-21
46,5,2023-10-22
46,15,2023-10-23
47,8,2023-10-26
47,18,2023-10-27
47,28,2023-10-28
48,20,2023-11-02
48,30,2023-11-03
48,40,2023-11-04
49,10,2023-11-11
49,30,2023-11-12
50,8,2023-11-16
50,18,2023-11-17
50,38,2023-11-18